date,total_trades,buy_trades,sell_trades,daily_pnl,avg_buy_price,avg_sell_price,total_volume
2025-07-01,2,1,1,-0.02,106847.04,106727.68,0.000327
2025-07-02,3,1,2,0.03,105667.39,105847.55,0.000474
