buy_time,sell_time,buy_price,sell_price,amount,profit_loss,hold_time_minutes,return_pct
2025-07-01 06:46:36.020820,2025-07-01 07:19:46.412137,106847.04,106727.68,0.00015904,-0.02,33.2,-0.11
2025-07-02 02:03:30.608937,2025-07-02 02:50:46.675089,105667.39,105865.97,0.0001342,0.03,47.3,0.19
